judul;tanggal;penulis;isi_;url
Amplop Total Rp500 Juta Dibagi Kades di Tangerang Demi Nyaleg Anak;Minggu, 10 Mar 2024;CNN Indonesia;Kepala Desa Wanakerta, Kecamatan Sindang Jaya, Kabupaten Tangerang, Tumpang Sugian mengaku telah membagikan uang sebesar Rp500 juta agar anaknya terpilih dalam kontestasi Pileg 2024.;https://www.cnnindonesia.com/nasional/20240310080408-617-1072661/amplop-total-rp500-juta-dibagi-kades-di-tangerang-demi-nyaleg-anak
Ganjar Klaim Relawan 03 Didatangi Intel, Ditanya Soal Sumber Dana;Minggu, 10 Mar 2024;CNN Indonesia;Calon presiden (capres) nomor urut 03 Ganjar Pranowo mengklaim sejumlah pendukungnya didatangi aparat negara yang mempertanyakan sumber dana pilpres.;https://www.cnnindonesia.com/nasional/20240310074153-617-1072659/ganjar-klaim-relawan-03-didatangi-intel-ditanya-soal-sumber-dana
Bawaslu Bongkar Kerawanan Pemungutan Suara Ulang di Kuala Lumpur;Minggu, 10 Mar 2024;CNN Indonesia;Badan Pengawas Pemilu (Bawaslu) mengungkap sederet kerawanan pelaksanaan Pemungutan Suara Ulang (PSU) yang akan dilakukan di Kuala Lumpur, Malaysia, pada 10 Maret 2024. PSU ini dilakukan usai dugaan pelanggaran pidana oleh salah satu anggota panitia.;https://www.cnnindonesia.com/nasional/20240310033642-617-1072635/bawaslu-bongkar-kerawanan-pemungutan-suara-ulang-di-kuala-lumpur
Migrant Care: Pemungutan Suara di Kuala Lumpur Boros Rp15,6 M;Minggu, 10 Mar 2024;CNN Indonesia;Migrant Care menemukan adanya pemborosan hingga lebih dari Rp15,6 miliar dalam pemungutan suara Pemilu 2024 untuk pemilih (WNI) yang berada di Kuala Lumpur, Malaysia.;https://www.cnnindonesia.com/nasional/20240310001558-617-1072631/migrant-care-pemungutan-suara-di-kuala-lumpur-boros-rp156-m
Keponakan BJ Habibie Lolos ke Senayan dari Dapil Gorontalo;Sabtu, 09 Mar 2024;CNN Indonesia;Keponakan Presiden ke-3 B.J. Habibie, Rusli Habibie lolos untuk menjadi anggota legislatif dari Pemilu 2024. Rusli berhasil mendapat 95.379 di dapil Gorontalo dari 744.606 suara sah.;https://www.cnnindonesia.com/nasional/20240309202223-617-1072608/keponakan-bj-habibie-lolos-ke-senayan-dari-dapil-gorontalo
Rekapitulasi KPU DKI Jakarta: PDIP Unggul di Jakut, Disusul Golkar-PSI;Sabtu, 09 Mar 2024;CNN Indonesia;Rekapitulasi suara di tingkat provinsi DKI Jakarta menyatakan PDIP meraih suara terbesar dalam Pileg 2024 DPR RI di wilayah Jakarta Utara (Jakut).;https://www.cnnindonesia.com/nasional/20240309103904-617-1072477/rekapitulasi-kpu-dki-jakarta-pdip-unggul-di-jakut-disusul-golkar-psi
Hasil Resmi KPU: Prabowo-Gibran Dominasi Jabar, Berikut Detailnya;Sabtu, 09 Mar 2024;CNN Indonesia;Hasil rekapitulasi KPU Jabar di 14 Kabupaten dan Kota, suara pasangan calon presiden dan wakil presiden nomor urut 02, Prabowo Subianto dan Gibran Rakabuming Raka, mendominasi.;https://www.cnnindonesia.com/nasional/20240308225019-617-1072411/hasil-resmi-kpu-prabowo-gibran-dominasi-jabar-berikut-detailnya
Daftar Caleg DPR Suara Terbanyak di Jakarta Utara: Erwin Aksa, Sahroni;Sabtu, 09 Mar 2024;CNN Indonesia;KPU Provinsi DKI Jakarta menggelar rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara Pemilu 2024 tingkat provinsi, Sabtu (9/3) dini hari.;https://www.cnnindonesia.com/nasional/20240309024158-617-1072431/daftar-caleg-dpr-suara-terbanyak-di-jakarta-utara-erwin-aksa-sahroni
AHY soal Hak Angket: Demokrat Tegas Menolak;Sabtu, 09 Mar 2024;CNN Indonesia;Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menegaskan sikap partainya yang menolak hak angket terkait kecurangan Pemilu 2024.;https://www.cnnindonesia.com/nasional/20240309015554-617-1072428/ahy-soal-hak-angket-demokrat-tegas-menolak
Golkar Sorot Caleg Perempuan Kerap Jadi Korban Kecurangan Pemilu;Sabtu, 09 Mar 2024;CNN Indonesia;Politikus Partai Golkar Melli Darsa mengaku caleg perempuan kerap menjadi korban dugaan kecurangan di pemilu. Ia menilai hal itu tak lepas dari masih maraknya praktek dugaan politik uang dan masih kuatnya budaya patriarki di masyarakat.;https://www.cnnindonesia.com/nasional/20240308205003-32-1072388/golkar-sorot-caleg-perempuan-kerap-jadi-korban-kecurangan-pemilu
Amplop Total Rp500 Juta Dibagi Kades di Tangerang Demi Nyaleg Anak;Minggu, 10 Mar 2024;CNN Indonesia;Kepala Desa Wanakerta, Kecamatan Sindang Jaya, Kabupaten Tangerang, Tumpang Sugian mengaku telah membagikan uang sebesar Rp500 juta agar anaknya terpilih dalam kontestasi Pileg 2024.;https://www.cnnindonesia.com/nasional/20240310080408-617-1072661/amplop-total-rp500-juta-dibagi-kades-di-tangerang-demi-nyaleg-anak
Ganjar Klaim Relawan 03 Didatangi Intel, Ditanya Soal Sumber Dana;Minggu, 10 Mar 2024;CNN Indonesia;Calon presiden (capres) nomor urut 03 Ganjar Pranowo mengklaim sejumlah pendukungnya didatangi aparat negara yang mempertanyakan sumber dana pilpres.;https://www.cnnindonesia.com/nasional/20240310074153-617-1072659/ganjar-klaim-relawan-03-didatangi-intel-ditanya-soal-sumber-dana
Bawaslu Bongkar Kerawanan Pemungutan Suara Ulang di Kuala Lumpur;Minggu, 10 Mar 2024;CNN Indonesia;Badan Pengawas Pemilu (Bawaslu) mengungkap sederet kerawanan pelaksanaan Pemungutan Suara Ulang (PSU) yang akan dilakukan di Kuala Lumpur, Malaysia, pada 10 Maret 2024. PSU ini dilakukan usai dugaan pelanggaran pidana oleh salah satu anggota panitia.;https://www.cnnindonesia.com/nasional/20240310033642-617-1072635/bawaslu-bongkar-kerawanan-pemungutan-suara-ulang-di-kuala-lumpur
Migrant Care: Pemungutan Suara di Kuala Lumpur Boros Rp15,6 M;Minggu, 10 Mar 2024;CNN Indonesia;Migrant Care menemukan adanya pemborosan hingga lebih dari Rp15,6 miliar dalam pemungutan suara Pemilu 2024 untuk pemilih (WNI) yang berada di Kuala Lumpur, Malaysia.;https://www.cnnindonesia.com/nasional/20240310001558-617-1072631/migrant-care-pemungutan-suara-di-kuala-lumpur-boros-rp156-m
Keponakan BJ Habibie Lolos ke Senayan dari Dapil Gorontalo;Sabtu, 09 Mar 2024;CNN Indonesia;Keponakan Presiden ke-3 B.J. Habibie, Rusli Habibie lolos untuk menjadi anggota legislatif dari Pemilu 2024. Rusli berhasil mendapat 95.379 di dapil Gorontalo dari 744.606 suara sah.;https://www.cnnindonesia.com/nasional/20240309202223-617-1072608/keponakan-bj-habibie-lolos-ke-senayan-dari-dapil-gorontalo
Rekapitulasi KPU DKI Jakarta: PDIP Unggul di Jakut, Disusul Golkar-PSI;Sabtu, 09 Mar 2024;CNN Indonesia;Rekapitulasi suara di tingkat provinsi DKI Jakarta menyatakan PDIP meraih suara terbesar dalam Pileg 2024 DPR RI di wilayah Jakarta Utara (Jakut).;https://www.cnnindonesia.com/nasional/20240309103904-617-1072477/rekapitulasi-kpu-dki-jakarta-pdip-unggul-di-jakut-disusul-golkar-psi
Hasil Resmi KPU: Prabowo-Gibran Dominasi Jabar, Berikut Detailnya;Sabtu, 09 Mar 2024;CNN Indonesia;Hasil rekapitulasi KPU Jabar di 14 Kabupaten dan Kota, suara pasangan calon presiden dan wakil presiden nomor urut 02, Prabowo Subianto dan Gibran Rakabuming Raka, mendominasi.;https://www.cnnindonesia.com/nasional/20240308225019-617-1072411/hasil-resmi-kpu-prabowo-gibran-dominasi-jabar-berikut-detailnya
Daftar Caleg DPR Suara Terbanyak di Jakarta Utara: Erwin Aksa, Sahroni;Sabtu, 09 Mar 2024;CNN Indonesia;KPU Provinsi DKI Jakarta menggelar rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara Pemilu 2024 tingkat provinsi, Sabtu (9/3) dini hari.;https://www.cnnindonesia.com/nasional/20240309024158-617-1072431/daftar-caleg-dpr-suara-terbanyak-di-jakarta-utara-erwin-aksa-sahroni
AHY soal Hak Angket: Demokrat Tegas Menolak;Sabtu, 09 Mar 2024;CNN Indonesia;Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menegaskan sikap partainya yang menolak hak angket terkait kecurangan Pemilu 2024.;https://www.cnnindonesia.com/nasional/20240309015554-617-1072428/ahy-soal-hak-angket-demokrat-tegas-menolak
Golkar Sorot Caleg Perempuan Kerap Jadi Korban Kecurangan Pemilu;Sabtu, 09 Mar 2024;CNN Indonesia;Politikus Partai Golkar Melli Darsa mengaku caleg perempuan kerap menjadi korban dugaan kecurangan di pemilu. Ia menilai hal itu tak lepas dari masih maraknya praktek dugaan politik uang dan masih kuatnya budaya patriarki di masyarakat.;https://www.cnnindonesia.com/nasional/20240308205003-32-1072388/golkar-sorot-caleg-perempuan-kerap-jadi-korban-kecurangan-pemilu
Saksi Ganjar-Mahfud Tolak Hasil Rekapitulasi Pilpres di Makassar;Sabtu, 09 Mar 2024;CNN Indonesia;Saksi dari pasangan capres-cawapres nomor urut 3, Ganjar Pranowo-Mahfud MD menolak hasil rekapitulasi suara Pemilu tingkat Kota Makassar, Sulawesi Selatan.;https://www.cnnindonesia.com/nasional/20240308232414-617-1072415/saksi-ganjar-mahfud-tolak-hasil-rekapitulasi-pilpres-di-makassar
Rano Karno Curhat Berat Lawan Airin di Banten, Singgung Kejutan PKS;Jumat, 08 Mar 2024;CNN Indonesia;Anggota DPR dari Fraksi PDIP Rano Karno bicara beratnya maju sebagai caleg DPR di Dapil Banten III yang meliputi Kota Tangerang, Tangerang Selatan dan Kabupaten Tangerang. Dia menyebut dapil tersebut sebagai dapil neraka di Pemilu 2024.;https://www.cnnindonesia.com/nasional/20240308193322-617-1072356/rano-karno-curhat-berat-lawan-airin-di-banten-singgung-kejutan-pks
Mahfud Dengar Isu Suara Dikunci 17 Persen Sebelum Pemungutan Suara;Jumat, 08 Mar 2024;CNN Indonesia;Calon wakil presiden nomor urut 3 Mahfud MD mengatakan isu tentang perolehan suaranya di Pilpres 2024 dikunci hanya 17 persen sudah ia dengar sebelum pemungutan suara.;https://www.cnnindonesia.com/nasional/20240308194944-617-1072364/mahfud-dengar-isu-suara-dikunci-17-persen-sebelum-pemungutan-suara
VIDEO: Massa Tolak Angket Putar Lagu 'Oke Gas' di Depan Kompleks DPR;Jumat, 08 Mar 2024;CNN Indonesia/Naufal |  CNN Indonesia;Massa aksi penolak hak angket Pemilu 2024 curang memutar lagu 'oke gas' di depan kompleks DPR RI pada Jumat (8/3).;https://www.cnnindonesia.com/nasional/20240308193616-621-1072357/video-massa-tolak-angket-putar-lagu-oke-gas-di-depan-kompleks-dpr
Massa Demo Hak Angket Pemilu di Depan  DPR Bubar, Jalanan Dibuka Lagi;Jumat, 08 Mar 2024;CNN Indonesia;Massa aksi demonstrasi di depan gedung DPR, Jakara Pusat, membubarkan diri, Jumat (8/3) malam. Ruas Jalan Gatot Subroto yang ada di depan kompleks parlemen itu pun dibuka kembali oleh polisi.;https://www.cnnindonesia.com/nasional/20240308190142-20-1072340/massa-demo-hak-angket-pemilu-di-depan-dpr-bubar-jalanan-dibuka-lagi
Rekapitulasi Suara DKI: Caleg PKS Kuasai Jakpus, Jaksel, dan Jaktim;Jumat, 08 Mar 2024;CNN Indonesia;Para calon anggota legislatif (caleg) dari PKS mendapatkan perolehan suara tertinggi di Jakarta Timur, Jakarta Pusat, dan Jakarta Selatan berdasarkan rekapitulasi penghitungan perolehan suara pemilihan legislatif DPR RI oleh KPU DKI Jakarta.;https://www.cnnindonesia.com/nasional/20240308143454-617-1072138/rekapitulasi-suara-dki-caleg-pks-kuasai-jakpus-jaksel-dan-jaktim
Rekapitulasi Suara Kota Makassar: Prabowo-Gibran Menang;Jumat, 08 Mar 2024;CNN Indonesia;Hasil rekapitulasi suara tingkat Kota Makassar, Sulawesi Selatan, KPU menetapkan pasangan capres-cawapres nomor urut 2 Prabowo Subianto-Gibran Rakabuming memperoleh suara terbanyak di Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240308140912-617-1072128/rekapitulasi-suara-kota-makassar-prabowo-gibran-menang
Rekapitulasi KPU DKI: Prabowo-Gibran Menang di Jakarta Barat;Jumat, 08 Mar 2024;CNN Indonesia;Hasil rekapitulasi suara di tingkat provinsi DKI Jakarta menunjukkan paslon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka unggul di Jakarta Barat (Jakbar).;https://www.cnnindonesia.com/nasional/20240308151211-617-1072160/rekapitulasi-kpu-dki-prabowo-gibran-menang-di-jakarta-barat
Ketua MPR Bicara Peluang Revisi UU MD3 untuk Ketua DPR hingga Angket;Jumat, 08 Mar 2024;CNN Indonesia;Ketua Majelis Permusyawaratan Rakyat (MPR), Bambang Soesatyo mengaku ada peluang untuk merevisi UU Nomor 13 Tahun 2019 tentang MPR, DPR, DPRD, dan DPD (UU MD3) untuk penentuan Ketua DPR periode 2024-2029.;https://www.cnnindonesia.com/nasional/20240308174852-617-1072303/ketua-mpr-bicara-peluang-revisi-uu-md3-untuk-ketua-dpr-hingga-angket
Massa Penolak Hak Angket Putar Lagu 'Oke Gas' di Depan Gedung DPR;Jumat, 08 Mar 2024;CNN Indonesia;Massa aksi penolak hak angket pemilu 2024 curang memutar lagu 'oke gas' di depan kompleks DPR RI, Jumat (8/3).;https://www.cnnindonesia.com/nasional/20240308170637-617-1072257/massa-penolak-hak-angket-putar-lagu-oke-gas-di-depan-gedung-dpr
Rekapitulasi KPU DKI: PDIP Unggul di Jakbar, Disusul PKS dan PSI;Jumat, 08 Mar 2024;CNN Indonesia;Rekapitulasi suara di tingkat provinsi DKI Jakarta menyatakan PDIP meraih suara terbesar dalam Pileg 2024 DPR RI di wilayah Jakarta Barat.;https://www.cnnindonesia.com/nasional/20240308165603-617-1072252/rekapitulasi-kpu-dki-pdip-unggul-di-jakbar-disusul-pks-dan-psi
Daftar 10 Caleg DPR Suara Terbanyak di Jakbar: Grace Natalie Urutan 1;Jumat, 08 Mar 2024;CNN Indonesia;KPU Provinsi DKI Jakarta tengah menggelar rapat pleno terbuka rekapitulasi hasil penghitungan perolehan suara Pemilu 2024 tingkat provinsi, Jumat (8/3).;https://www.cnnindonesia.com/nasional/20240308162420-617-1072213/daftar-10-caleg-dpr-suara-terbanyak-di-jakbar-grace-natalie-urutan-1
